Palabra,Pista
Presupuesto,Herramienta que permite planificar ingresos  gastos y ahorro.
Ahorro,Parte del ingreso que se guarda para el futuro.
Ingresos,Dinero que se recibe por salario  ventas u otras fuentes
Gastos,Dinero destinado a compras o pagos de servicios.
Inversión,Poner a trabajar el dinero ahorrado para generar ganancias.
Endeudamiento responsable,Contratar créditos que se puedan pagar según la capacidad económica.
Mora,Consecuencia de no cumplir con los pagos de crédito a tiempo.
Acreedor,Entidad o persona que presta el dinero.
Plan de ahorro,Estrategia para guardar recursos y alcanzar objetivos
Gastos hormiga,Compras pequeñas y frecuentes que afectan el presupuesto sin darnos cuenta
